halId_s;docType_s;title_s;authFullName_s;producedDate_s;domain_s;journalTitle_s;conferenceTitle_s;fr_keyword_s;labStructAcronym_s
hal-02157832;COMM;Flexi-security stocks\, a new approach for semi-raw materials used in blending;Mouna Bamoumen,Vincent Giard,Hajar Hilali,Vincent Hovelaque,Asma Rakiz;2018;0.info;;ILS Conference 2018;Safety Stock,Dynamic Blending,Risk,Uncertain Universe;CREM,LAMSADE
hal-02157305;COMM;Towards new design tools for integrating environmental criteria in the design process of architectural and urban projects in developing countries;Luc Adolphe,Benjamin Rousval,Tathiane Martins,Marion Bonhomme,Catherine Dubois;2017-12;0.spi,1.spi.gciv,2.spi.gciv.ec,0.spi,1.spi.gciv,2.spi.gciv.cd,0.shs,1.shs.archi;;30ème conférence PLEA (Passive Low Energy Architecture);;LRA,LAMSADE
hal-01090621;ART;A complete classification of equational classes of threshold functions included in clones;Miguel Couceiro,Erkko Lehtonen,Karsten Schölzel;2015;0.math,0.info;RAIRO - Operations Research;;;LAMSADE,LORIA,LASSY
hal-02307486;COMM;Single Transferable Vote: Incomplete Knowledge and Communication Issues;Manel Ayadi,Nahla Ben Amor,Jérôme Lang,Dominik Peters;2019;0.info;;18th International Conference on Autonomous Agents and MultiAgent Systems (AAMAS 19);;LAMSADE,LARODEC
hal-01502373;COMM;Inférence de Schémas pour Données JSON Massives;Mohamed-Amine Baazizi,Houssem Ben Lahmar,Dario Colazzo,Giorgio Ghelli,Carlo Sartiani;15/11/2016;0.info,1.info.info-db,0.info,1.info.info-cl;;"32ème Conférence sur la ""Gestion de Données — Principes, Technologies et Applications"" (BDA 2016)";;LIP6,LAMSADE,DI,DMI
hal-01690385;ART;An FPT 2-Approximation for Tree-Cut Decomposition;Eun Jung Kim,Sang-Il Oum,Christophe Paul,Ignasi Sau,Dimitrios M. Thilikos;2018;0.info,1.info.info-ds,0.info,1.info.info-dm;Algorithmica;;;LAMSADE,LIRMM
hal-01504852;ART;Automatic Dantzig–Wolfe reformulation of mixed integer programs;Martin Bergner,Alberto Caprara,Alberto Ceselli,Fabio Furini,Marco E. Lübbecke,Enrico Malaguti,Emiliano Traversi;2015;0.info;Mathematical Programming;;;LAMSADE,LIPN
hal-01785011;COMM;Accountable Approval Sorting;Khaled Belahcene,Yann Chevaleyre,Nicolas Maudet,Christophe Labreuche,Vincent Mousseau,Wassila Ouerdane;13/07/2018;0.info,1.info.info-ai;;27th International Joint Conference on Artificial Intelligence and 23rd European Conference on Artificial Intelligence (IJCAI-ECAI 2018);;LGI,LAMSADE,UMP CNRS/THALES
hal-01649414;ART;Pareto optimality and strategy-proofness in group argument evaluation;Edmond Awad,Martin Caminada,Gabriella Pigozzi,Mikolaj Podlaszewski,Iyad Rahwan;2017;0.info;Journal of logic and computation;;;LAMSADE,FSTC
hal-01924646;COMM;Towards Adaptive Classification using Riemannian Geometry approaches in Brain-Computer Interfaces;Satyam Kumar,Florian Yger,Fabien Lotte;18/02/2019;0.info,1.info.info-ai,0.info,1.info.info-lg,0.info,1.info.info-et,0.info,1.info.info-ts;;BCI 2019 - IEEE International Winter Conference on Brain-Computer Interfaces;;LaBRI,LAMSADE
